id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1291168441156722688,1291168441156722688,1596673519000,2020-08-05,21:25:19,-0300,1093918743955161088,historiadoseua,Rede de Estudos dos Estados Unidos,,"Resenha escrita por Marco de Almeida Fornaciari @mafornaciari  (Doutorando em História - membro da Rede) do livro ""Digital game as history"" de Adam Chapman para a revista Fronteiras & Debates (2018, v. 5 n. 2).
 https://periodicos.unifap.br/index.php/fronteiras/article/view/5103/marcov5n2.pdf …
#gamestudies #videogame #digitalhistory  pic.twitter.com/BJV6E4vnRy",pt,['mafornaciari'],['https://periodicos.unifap.br/index.php/fronteiras/article/view/5103/marcov5n2.pdf'],['https://pbs.twimg.com/media/EesmY7EXYAAET6p.png'],0,3,6,"['#gamestudies', '#videogame', '#digitalhistory']",[],https://twitter.com/historiadoseua/status/1291168441156722688,False,,0,,,,,,,"[{'user_id': '1093918743955161088', 'username': 'historiadoseua'}, {'user_id': '383419347', 'username': 'mafornaciari'}]",,,,
1291041539007877127,1291041539007877127,1596643263000,2020-08-05,13:01:03,-0300,45083460,petrobras,Petrobras,,"Concluímos a transferência das fábricas de fertilizantes nitrogenados da Bahia (Fafen-BA) e de Sergipe (Fafen-SE) para a Proquigel Química via arrendamento. Isso permitirá que as fábricas retomem sua operação sob nova direção, gerando novos empregos e atraindo investimentos. pic.twitter.com/FtCGduFldK",pt,[],[],['https://pbs.twimg.com/media/EeqzXMXWkAE3ZpP.jpg'],6,31,202,[],[],https://twitter.com/petrobras/status/1291041539007877127,False,,0,,,,,,,"[{'user_id': '45083460', 'username': 'petrobras'}]",,,,
1291143133451952128,1291109901813587968,1596667485000,2020-08-05,19:44:45,-0300,770293085771210752,ouhistdept,OU History says mask up,,"History major and Geography minor Connor McCutcheon used @ArcGISStoryMaps  to create a digital history of ""The Credibility Gap: LBJ, Vietnam, And a Growing Distrust of Government"":  https://storymaps.arcgis.com/stories/97371182f4d1427ba92064b0591b7804 …",en,['arcgisstorymaps'],['https://storymaps.arcgis.com/stories/97371182f4d1427ba92064b0591b7804'],[],0,0,2,[],[],https://twitter.com/OUHistDept/status/1291143133451952128,False,,0,,,,,,,"[{'user_id': '770293085771210752', 'username': 'OUHistDept'}, {'user_id': '615300761', 'username': 'ArcGISStoryMaps'}]",,,,
1291118293877653506,1291118293877653506,1596661563000,2020-08-05,18:06:03,-0300,70711952,mcdanielcollege,McDaniel College,,"Over the summer, Qin Fang, associate professor of #History, collaborated on “Digital History: Water, Food, and Environment” with students, Kyra Greenfield and Juliette Marchman.
 https://www.mcdaniel.edu/news/mcdaniel-colleges-student-faculty-collaborative-summer-research-program-leads-impactful …",en,[],['https://www.mcdaniel.edu/news/mcdaniel-colleges-student-faculty-collaborative-summer-research-program-leads-impactful'],[],0,0,3,['#history'],[],https://twitter.com/McDanielCollege/status/1291118293877653506,False,,0,,,,,,,"[{'user_id': '70711952', 'username': 'McDanielCollege'}]",,,,
1291092551429226498,1291092551429226498,1596655426000,2020-08-05,16:23:46,-0300,2289767360,nowell_ww,Nowell Development,,"Regulatory requirements are a challenge, keeping a digital history of SOPs, inspection, quality assurance across facilities, linked to customer experience can be simplified via software OSHA complaince, HIPAA, COBIT, PCI DSS etc",en,[],[],[],0,0,0,[],[],https://twitter.com/nowell_ww/status/1291092551429226498,False,,0,,,,,,,"[{'user_id': '2289767360', 'username': 'nowell_ww'}]",,,,
1291054295748575233,1291054295748575233,1596646305000,2020-08-05,13:51:45,-0300,516209413,tangentsafari,Amy Hayes 🐆,,"Be there (virtually) or be square, y’all. 

This could end up in the digital history textbooks of the future. 

(Better make sure your hair looks good, Jamie).  https://twitter.com/jslovegrove/status/1291039870413090817 …",en,[],['https://twitter.com/jslovegrove/status/1291039870413090817'],[],0,0,0,[],[],https://twitter.com/tangentsafari/status/1291054295748575233,False,https://twitter.com/jslovegrove/status/1291039870413090817,0,,,,,,,"[{'user_id': '516209413', 'username': 'tangentsafari'}]",,,,
1291012851629527042,1291012851629527042,1596636424000,2020-08-05,11:07:04,-0300,146034763,hsozkultservice,H-Soz-Kult Service,,"Job: Stud. Hilfskraft ""Digital History"" (HU Berlin)  https://ift.tt/2EMVzXm ",de,[],['https://ift.tt/2EMVzXm'],[],0,1,1,[],[],https://twitter.com/hsozkultservice/status/1291012851629527042,False,,0,,,,,,,"[{'user_id': '146034763', 'username': 'hsozkultservice'}]",,,,
1291008916533411841,1291008916533411841,1596635486000,2020-08-05,10:51:26,-0300,256923553,guidokoller,Guido Koller,,"#DigitalHistory Dans son numéro 1/2020, le journal ""Humanités numériques"" décrit comment concevoir un living book en sciences humaines et sociales :  https://journals.openedition.org/revuehn/394 . C’est aussi un retour d’expérience sur le projet de infoclio  http://livingbooksabouthistory.ch/fr/ ",fr,[],"['https://journals.openedition.org/revuehn/394', 'http://livingbooksabouthistory.ch/fr/']",[],0,4,3,['#digitalhistory'],[],https://twitter.com/GuidoKoller/status/1291008916533411841,False,,0,,,,,,,"[{'user_id': '256923553', 'username': 'GuidoKoller'}]",,,,
1290989257281200129,1290986284891222016,1596630799000,2020-08-05,09:33:19,-0300,900874783847481344,wokeacademic,Dancing Revolution is a book and a dialectic.,,Be safe--thinking of you!,en,['digitalhistory_'],[],[],0,0,0,[],[],https://twitter.com/WokeAcademic/status/1290989257281200129,False,,0,,,,,,,"[{'user_id': '900874783847481344', 'username': 'WokeAcademic'}, {'user_id': '933342822', 'username': 'DigitalHistory_'}]",,,,
1290986284891222016,1290986284891222016,1596630090000,2020-08-05,09:21:30,-0300,933342822,digitalhistory_,DigitalHistory_,,Still no power on this Mickey Mouse block post-Hurricane. Now estimating Friday as workers can’t safely operate as crews with COVID. I think I reached out to everyone I had meetings with and collaborative work with this week but I can’t make it through all the emails. Phone off.,en,[],[],[],1,0,0,[],[],https://twitter.com/DigitalHistory_/status/1290986284891222016,False,,0,,,,,,,"[{'user_id': '933342822', 'username': 'DigitalHistory_'}]",,,,
