id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1316195679547600897	1316195679547600897	2020-10-13 22:54:38 -03	2020-10-13	22:54:38	-0300	270714969	piranhasuave	gustavo		Muito interessante! É um bom tema pra se pensar dentro da sociologia digital.	pt	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/piranhasuave/status/1316195679547600897		https://twitter.com/moniqueevelle/status/1316126963086565378	0								{'user_id': None, 'username': None}				
1315881210527219713	1315739765610893313	2020-10-13 02:05:03 -03	2020-10-13	02:05:03	-0300	2950579672	dantas_tayane	Figura publica que ngm conhece		@nicolasferrmar Uma coisa não anula a outra. Já estudei Sociologia digital e sim a tecnologia é racista pq foi pensada por pessoas racistas	pt	['nicolasferrmar']	[]	[]	1	0	1	[]	[]	https://twitter.com/dantas_tayane/status/1315881210527219713			0								{'user_id': '4740393195', 'username': 'nicolasferrmar'}				
1315822345949450245	1315821824261980163	2020-10-12 22:11:08 -03	2020-10-12	22:11:08	-0300	1301999783398313991	spielbrazilian1	Spiel.BrazilianPavilion		É sociólogo e psicólogo pela UFSM, mestre e doutor em sociologia pela UFRGS. Atualmente é professor associado do Departamento de Ciências Sociais e coordena o Programa de Pós-Graduação em Ciências Sociais da UFSM. Dedica-se a pesquisas nos campos da Sociologia Digital	pt	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/SpielBrazilian1/status/1315822345949450245			0								{'user_id': '1301999783398313991', 'username': 'SpielBrazilian1'}				
1315279735497216002	1315279735497216002	2020-10-11 10:15:00 -03	2020-10-11	10:15:00	-0300	978453592561672192	larhud1	Laboratório em Rede de Humanidades Digitais		"Conheça os pesquisadores que participam da I Jornada Nacional de Humanidades Digitais. Leonardo Nascimento apresenta o tema ""Da Sociologia Digital às Humanidades Digitais: dilemas e oportunidades"". Inscrições:  https://t.co/kCWdWGAa02 #HumanidadesDigitais #digitalhumanities  https://t.co/BewWTgLEh7"	pt	[]	['https://bit.ly/30oSnZW']	['https://pbs.twimg.com/media/EjmEgf7WoAsxBRP.jpg']	0	4	14	['humanidadesdigitais', 'digitalhumanities']	[]	https://twitter.com/larhud1/status/1315279735497216002			1	https://pbs.twimg.com/media/EjmEgf7WoAsxBRP.jpg							{'user_id': None, 'username': None}				
1313955310210551809	1313955310210551809	2020-10-07 18:32:12 -03	2020-10-07	18:32:12	-0300	14735622	realeden	Eden Wiedemann		Eu encontro umas pérolas da sociologia digital. Um perfil de uma guria que, pela cara, teria uns 16 a 17 anos, linda, porém fica óbvio se tratar de um fake para alguém que observe com mais cuidado. Aparentemente ela adiciona perfis de senhores de idade como amigos.	pt	[]	[]	[]	1	1	3	[]	[]	https://twitter.com/RealEden/status/1313955310210551809			0								{'user_id': None, 'username': None}				
1313258986414714880	1313258986414714880	2020-10-05 20:25:16 -03	2020-10-05	20:25:16	-0300	227889010	mmaluff	Mauricio 𓀬		Alguien que estudia sociología digital podría escribir una linda tesis sobre la mayor penetración del guaraní en tiktok comparando con otras redes sociales	es	[]	[]	[]	1	0	2	[]	[]	https://twitter.com/mmaluff/status/1313258986414714880			0								{'user_id': None, 'username': None}				
1313257478419877896	1313257478419877896	2020-10-05 20:19:16 -03	2020-10-05	20:19:16	-0300	1237515474755375104	labhdufba	Laboratório de Humanidades Digitais da UFBA		Conheça o LABHDUFBA!   https://t.co/9Szd8AzR80  #digitalhumanities #humanidadesdigitais  #digitalsociology  #sociologiadigital #digitalhistory  #historiadigital	pt	[]	['https://www.youtube.com/watch?v=I3zhQIbJ73o']	[]	1	9	18	['digitalhumanities', 'humanidadesdigitais', 'digitalsociology', 'sociologiadigital', 'digitalhistory', 'historiadigital']	[]	https://twitter.com/labhdufba/status/1313257478419877896			0								{'user_id': None, 'username': None}				
1313135824402345984	1313135824402345984	2020-10-05 12:15:52 -03	2020-10-05	12:15:52	-0300	331195870	ricardompimenta	Ricardo M Pimenta		Aos colegas brasileiros que estão debruçados sobre experiências de Humanidades Digitais (+ dedicados em historia digital ou sociologia digital, por exemplo), ainda há tempo de um mergulho de qualidade nesse evento maravilhoso organizado pela @aahdArg	pt	['aahdarg']	[]	[]	0	1	5	[]	[]	https://twitter.com/RicardoMPimenta/status/1313135824402345984		https://twitter.com/aahdArg/status/1313129268134719493	0								{'user_id': None, 'username': None}				
1312098729793523712	1311680767588806657	2020-10-02 15:34:49 -03	2020-10-02	15:34:49	-0300	909456000700289026	2017_liraucio	Liráucio		@labhdufba @RicardoMPimenta @dani_sanches @leofn3 @DanielAlvesFCSH @larhud1 @ReHDi_Co Muito bom conhecer a página e o trabalho de vocês. Divulgado no face Sociologia/Digital. Obrigado.	pt	['labhdufba', 'ricardompimenta', 'dani_sanches', 'leofn3', 'danielalvesfcsh', 'larhud1', 'rehdi_co']	[]	[]	0	0	2	[]	[]	https://twitter.com/2017_liraucio/status/1312098729793523712			0								{'user_id': '1237515474755375104', 'username': 'labhdufba'}				
1311784260009852928	1311741600620478465	2020-10-01 18:45:14 -03	2020-10-01	18:45:14	-0300	866449702102999040	akirachato	M793 kato: inseto de kafka		@livianjinho Nunca vi, mas fiz um curso de sociologia digital ano passado, teve uma aula que falamos basicamente de trabalho digital	pt	['livianjinho']	[]	[]	1	0	1	[]	[]	https://twitter.com/akirachato/status/1311784260009852928			0								{'user_id': '767045076019212289', 'username': 'livianjinho'}				
1310930346729525248	1310930346729525248	2020-09-29 10:12:05 -03	2020-09-29	10:12:05	-0300	1262022428189999104	franciscokerche	Chico Kerche com Benedita 13⭐️		é doido que quando se trabalha com big data, o pesquisador fica tão submerso em uma complexidade de variação de dados tão fora das correlações tradicionais que criar uma narrativa fica muito difícil, é o grande desafio da sociologia digital quantitativa	pt	[]	[]	[]	1	0	2	[]	[]	https://twitter.com/FranciscoKerche/status/1310930346729525248			0								{'user_id': None, 'username': None}				
1310248720819204096	1309431506335657985	2020-09-27 13:03:32 -03	2020-09-27	13:03:32	-0300	164290943	ericbrasiln	Eric Brasil (de 🏠)		"@FabioMinervini @dani_sanches @projeto_enders @ThiagoKrause2 @leofn3 Aqui na @unilabbrasil no curso de bacharelado em humanidades temos ""Humaidades digitais"", na licenciatura em @HistoriaMales , ""história digital"" e na licenciatura em ciências sociais tem ""sociologia digital"". Todas optativas. Já é um começo."	pt	['fabiominervini', 'dani_sanches', 'projeto_enders', 'thiagokrause2', 'leofn3', 'unilabbrasil', 'historiamales']	[]	[]	1	0	3	[]	[]	https://twitter.com/ericbrasiln/status/1310248720819204096			0								{'user_id': '885944535766978560', 'username': 'FabioMinervini'}				
1309519911216189442	1309519911216189442	2020-09-25 12:47:31 -03	2020-09-25	12:47:31	-0300	1282849901559382017	thegirlwhwaited	por supus		Yo: estoy harta de la sociologia, no quiero investigar no quiero saber nada quiero ser desarrolladora y vivir en una camioneta.  Also yo: VOY A HACER UN MASTER EN ANTROPOLOGÍA DIGITAL Y VOY A SER LA EXPONENTE HIPANOHABLANTE DE LA SOCIOLOGÍA DIGITAL  https://t.co/BnAuwJZCjD	es	[]	[]	['https://pbs.twimg.com/media/EixZay3XsAYvU0_.jpg']	1	0	0	[]	[]	https://twitter.com/thegirlwhwaited/status/1309519911216189442			1	https://pbs.twimg.com/media/EixZay3XsAYvU0_.jpg							{'user_id': None, 'username': None}				
1308298224222875648	1308298224222875648	2020-09-22 03:52:58 -03	2020-09-22	03:52:58	-0300	534348118	space_fabian	fabian		La sociología de Internet y la sociología digital  https://t.co/fWpg6MzKKk  https://t.co/lz7RYCSfeQ	es	[]	['http://www.artemisazine.com/2019/08/la-sociologia-de-internet-y-la.html?spref=tw']	['https://pbs.twimg.com/media/EigCTQyVoAA2edj.jpg']	0	0	1	[]	[]	https://twitter.com/Space_Fabian/status/1308298224222875648			1	https://pbs.twimg.com/media/EigCTQyVoAA2edj.jpg							{'user_id': None, 'username': None}				
1308162848460283906	1308162848460283906	2020-09-21 18:55:02 -03	2020-09-21	18:55:02	-0300	721244929045983232	jpedro339	Jango		"Não existe ""Sociologia Digital"""	pt	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/JPedro339/status/1308162848460283906			0								{'user_id': None, 'username': None}				
1308053441370099717	1308053441370099717	2020-09-21 11:40:17 -03	2020-09-21	11:40:17	-0300	894802989269037056	brbrl_	léo		engraçado ter uma aula de sociologia digital que o professor explica sobre como a quantidade de like monetiza mais ou menos um vídeo no youtube, sobre a publicidade em vídeos, etc  eu achava que isso fosse uma coisa que todo mundo já sabia	pt	[]	[]	[]	1	0	0	[]	[]	https://twitter.com/brbrl_/status/1308053441370099717			0								{'user_id': None, 'username': None}				
1305741661188825090	1305741661188825090	2020-09-15 02:34:06 -03	2020-09-15	02:34:06	-0300	534348118	space_fabian	fabian		La sociología de Internet y la sociología digital  https://t.co/fWpg6Mi9SM  https://t.co/EiUuiT3d5l	es	[]	['http://www.artemisazine.com/2019/08/la-sociologia-de-internet-y-la.html?spref=tw']	['https://pbs.twimg.com/media/Eh7tHrcXkAEcQuO.jpg']	0	0	1	[]	[]	https://twitter.com/Space_Fabian/status/1305741661188825090			1	https://pbs.twimg.com/media/Eh7tHrcXkAEcQuO.jpg							{'user_id': None, 'username': None}				
1304902401833472013	1304902401833472013	2020-09-12 18:59:11 -03	2020-09-12	18:59:11	-0300	161481306	_mulherdofuturo	exótica		"vcs viram esse ""evento"" no tinder? uma experiência sóciotécnica absurda... me faltam palavras, que objeto de análise incrível pra uma sociologia digital"	pt	[]	[]	[]	4	0	9	[]	[]	https://twitter.com/_mulherdofuturo/status/1304902401833472013			0								{'user_id': None, 'username': None}				
1303741314723393536	1303741314723393536	2020-09-09 14:05:26 -03	2020-09-09	14:05:26	-0300	181342430	intransponivel_	Cuceta Bandidah		E eu que antes de começar estudar o que de fato tenho obrigação de estudar, sempre faço um breve estudo sobre um outro tema que tenho interesse. Agora por exemplo estou pesquisando princípios básico dos valores de cambio para voltar a minha escrita sobre sociologia digital.	pt	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/Intransponivel_/status/1303741314723393536			0								{'user_id': None, 'username': None}				
1301342609747726337	1301342609747726337	2020-09-02 23:13:50 -03	2020-09-02	23:13:50	-0300	917010000	sk_serge	Serge Katz		"Discordo em parte. Como disse em meu ensaio ""Sociologia digital ou sociologia do digital"", o desafio da ciência hoje, é justificar sua importância perante o público. Há uma disputa política que consiste em desacreditar a ciência. Produzir discursos de justificação é vital."	pt	[]	[]	[]	3	3	46	[]	[]	https://twitter.com/sk_serge/status/1301342609747726337		https://twitter.com/andreafls/status/1301288203278839808	0								{'user_id': None, 'username': None}				
1298951957357490176	1298951957357490176	2020-08-27 08:54:14 -03	2020-08-27	08:54:14	-0300	80097983	gneto_	𝙂𝙚𝙧𝙢𝙖𝙣𝙤 vai com #Brisa13113		Um algoritmo baseado em biscoiteiros potiguares e cientistas de dados + professores de sociologia digital.	pt	[]	[]	[]	0	0	4	[]	[]	https://twitter.com/gneto_/status/1298951957357490176			0								{'user_id': None, 'username': None}				
1294839191004688389	1294838256106905601	2020-08-16 00:31:34 -03	2020-08-16	00:31:34	-0300	767406438255849472	kimjoaoun	João Pedro		curiosamente eram duas professoras que pesquisam religiao. A primeira pesquisava Antropologia da Religiao e a segunda pesquisa Sociologia da Religiao. Aliás, mt do q eu gosto hj de pesquisar veio pq a Eloisa tinha me emprestado um livro de Sociologia Digital, e eu só achei LINDO	pt	[]	[]	[]	1	0	1	[]	[]	https://twitter.com/KimJoaoUn/status/1294839191004688389			0								{'user_id': '767406438255849472', 'username': 'KimJoaoUn'}				
1293737125112881152	1293580029696323586	2020-08-12 23:32:21 -03	2020-08-12	23:32:21	-0300	102080072	laurahcastillo	Laura H. Castillo		"@Linocc Es como la teoría de ""La espiral del silencio"" de Noelle-Neumann  (1977) + la cueva del algoritmo donde el eco es infinito (¿sociología digital?)."	es	['linocc']	[]	[]	2	0	0	[]	[]	https://twitter.com/laurahcastillo/status/1293737125112881152			0								{'user_id': '89995953', 'username': 'Linocc'}				
1292928126377484290	1292922388053721089	2020-08-10 17:57:41 -03	2020-08-10	17:57:41	-0300	94787164	quandopretofala	pinto		@masoqy789 Bom, como atuante na área de digital e tendo me formado em comunicação preciso(ei) ler muito sobre sociologia digital, ciberativismo, comportamento do consumidor no meio digital etc Isso me faz ter bagagem pra debater com alguém que fala que tirei a fonte do cu. N é carteirada rs	pt	['masoqy789']	[]	[]	0	0	0	[]	[]	https://twitter.com/QuandoPretoFala/status/1292928126377484290			0								{'user_id': '1473735114', 'username': 'masoqy789'}				
1292884960576241664	1292821683628376064	2020-08-10 15:06:09 -03	2020-08-10	15:06:09	-0300	94787164	quandopretofala	pinto		@luizfelipedemac @guuigobrandao @ophcampos @pabllovittar Em q parte eu disse que não existe cultura do lado digital? Eu recomendei textos de cultura de redes Sociologia digital Me poupe, sabe nem ler o looping	pt	['luizfelipedemac', 'guuigobrandao', 'ophcampos', 'pabllovittar']	[]	[]	0	0	0	[]	[]	https://twitter.com/QuandoPretoFala/status/1292884960576241664			0								{'user_id': '758122212', 'username': 'luizfelipedemac'}				
1288554558768189440	1288538793847541762	2020-07-29 16:18:41 -03	2020-07-29	16:18:41	-0300	3255724828	liradelira0	MJ Lira		@minipetite Estados Unidos cree que el periodismo equivale a investigación académica. Vergüenza. *Llora abrazando su titulo de sociología digital*	es	['minipetite']	[]	[]	0	0	0	[]	[]	https://twitter.com/liradelira0/status/1288554558768189440			0								{'user_id': '5936422', 'username': 'minipetite'}				
1288197402030202880	1288197402030202880	2020-07-28 16:39:28 -03	2020-07-28	16:39:28	-0300	10135862	samadeu	Sergio Amadeu		Dossiê: Sociologia digital: tópicos e abordagens teórico-metodológicas da pesquisa social no século XXI   https://t.co/raLOv3lKhi	pt	[]	['https://periodicos.fclar.unesp.br/estudos/issue/view/793/showToc']	[]	0	4	12	[]	[]	https://twitter.com/samadeu/status/1288197402030202880			0								{'user_id': None, 'username': None}				
1287887880707289088	1287887880707289088	2020-07-27 20:09:33 -03	2020-07-27	20:09:33	-0300	2911596850	jon_msan	Jonatas M.		"Turma, foi publicado o artigo ""Viés algorítmico: um balanço provisório"", escrito pela @lesimoesgomes, @enricorbt e por mim, no Dossiê de Sociologia Digital da Revista de Estudos de Sociologia. Tem muita coisa boa por lá. Vale conferir."	pt	['lesimoesgomes', 'enricorbt']	[]	[]	0	0	6	[]	[]	https://twitter.com/jon_msan/status/1287887880707289088		https://twitter.com/lesimoesgomes/status/1287836883058384899	0								{'user_id': None, 'username': None}				
