id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1293895422700933121,1293895420872138755,1597323682000,2020-08-13,10:01:22,-0300,1044702540590456833,projeto7c0,Projeto 7c0,,"Estamos na luta é pelo #DerrubaOVeto368. Como professor de história, considero um acinte o veto de Bolsonaro à regulamentação da profissão de historiador! Quem tá junto contra mais esse ataque do gove...",pt,[],[],[],1,0,0,['#derrubaoveto368'],[],https://twitter.com/projeto7C0/status/1293895422700933121,False,,0,,,,,,,"[{'user_id': '1044702540590456833', 'username': 'projeto7C0'}]",,,,
1293743479571521537,1293743479571521537,1597287456000,2020-08-12,23:57:36,-0300,14351568,rafaferretti,rafaferretti 🇧🇷🚩🏁🏳,,"VITÓRIA!O Congresso Nacional derrubou o veto sobre projeto que regulamenta a profissão de historiador, de autoria do Senador Paulo Paim PT-RS. AGORA É LEI. Parabéns aos historiadores.
#DerrubaOVeto368  pic.twitter.com/RM6E6ixr80",pt,[],[],['https://pbs.twimg.com/media/EfRM1ovX0AEg0fW.jpg'],0,0,3,['#derrubaoveto368'],[],https://twitter.com/rafaferretti/status/1293743479571521537,False,,0,,,,,,,"[{'user_id': '14351568', 'username': 'rafaferretti'}]",,,,
1293726826834034689,1293726826834034689,1597283486000,2020-08-12,22:51:26,-0300,713930777067712512,thi_agorocha,Thiago Rocha 🇧🇷✌🏾👨🏾‍🏫,,"Gente, acabou de ser derrubado o veto de Bolsonaro à regulamentação da profissão de historiador. Valeu a  luta por reconhecimento e valorização! Vamo que vamo!! #HistóriaÉProfissão #direitoàhistoriaveto10 #DerrubaOVeto368",pt,[],[],[],0,0,1,"['#históriaéprofissão', '#direitoàhistoriaveto10', '#derrubaoveto368']",[],https://twitter.com/thi_agorocha/status/1293726826834034689,False,,0,,,,,,,"[{'user_id': '713930777067712512', 'username': 'thi_agorocha'}]",,,,
1293723704325804032,1293723704325804032,1597282741000,2020-08-12,22:39:01,-0300,207610920,thllndetails,gege all the time,,"o bolsonaro que lute, história é profissão SIM 

#DerrubaOVeto368",pt,[],[],[],0,0,0,['#derrubaoveto368'],[],https://twitter.com/thllndetails/status/1293723704325804032,False,,0,,,,,,,"[{'user_id': '207610920', 'username': 'thllndetails'}]",,,,
1293715834578317313,1293715834578317313,1597280865000,2020-08-12,22:07:45,-0300,112498734,ivanvalente,Ivan Valente,,"VITÓRIA! CONGRESSO DERRUBA VETO E OFÍCIO DO HISTORIADOR SERÁ REGULAMENTADO!

Bolsonaro vetou a regulamentação por negar a História e a ciência.

Revertemos. O exercício da História faz parte da democracia!

Parabéns à @ANPUH e aos envolvidos! 
#derrubaoveto368 #históriaéprofissão",pt,['anpuh'],[],[],13,74,444,"['#derrubaoveto368', '#históriaéprofissão']",[],https://twitter.com/IvanValente/status/1293715834578317313,False,,0,,,,,,,"[{'user_id': '112498734', 'username': 'IvanValente'}, {'user_id': '139704156', 'username': 'ANPUH'}]",,,,
1293714584365400064,1293714584365400064,1597280567000,2020-08-12,22:02:47,-0300,45953391,alessandromolon,Alessandro Molon 🇧🇷,,🔴 VITÓRIA!!! Acabamos de derrubar o veto de Bolsonaro à regulamentação da profissão de historiador. Derrota do governo em nossa luta por reconhecimento e valorização! Seguimos firmes! #HistóriaÉProfissão #direitoàhistoriaveto10 #DerrubaOVeto368,pt,[],[],[],57,253,2739,"['#históriaéprofissão', '#direitoàhistoriaveto10', '#derrubaoveto368']",[],https://twitter.com/alessandromolon/status/1293714584365400064,False,,0,,,,,,,"[{'user_id': '45953391', 'username': 'alessandromolon'}]",,,,
1293708137489485824,1293708137489485824,1597279030000,2020-08-12,21:37:10,-0300,257656397,suavementereco,Suavemente recolhida...,,"Uma batalha vencida! Seguimos na luta!
#derrubaoveto368 #históriaéprofissão #direitoàhistoriaveto10 pic.twitter.com/BWgMSXzfa5",pt,[],[],['https://pbs.twimg.com/media/EfQssY6XsAEppjZ.jpg'],0,0,5,"['#derrubaoveto368', '#históriaéprofissão', '#direitoàhistoriaveto10']",[],https://twitter.com/suavementereco/status/1293708137489485824,False,,0,,,,,,,"[{'user_id': '257656397', 'username': 'suavementereco'}]",,,,
1293689043201523719,1293566459050971136,1597274478000,2020-08-12,20:21:18,-0300,1861440506,kikapachpereira,Adriana Pacheco Pere,,Estamos no aguardo #DerrubaOVeto368,es,['alessandromolon'],[],[],0,0,0,['#derrubaoveto368'],[],https://twitter.com/kikapachpereira/status/1293689043201523719,False,,0,,,,,,,"[{'user_id': '1861440506', 'username': 'kikapachpereira'}, {'user_id': '45953391', 'username': 'alessandromolon'}]",,,,
1293681609368047617,1293681609368047617,1597272705000,2020-08-12,19:51:45,-0300,1127649415295119360,bruxadomarbelo,Morgana Marinho,,"Historiador é profissão das mais lindas e complexas. Que possamos seguir batalhando dia a dia na construção do nosso povo. #DerrubaOVeto368 

Campanha @ANPUH 

Dêem RT, comentem... avante!",pt,['anpuh'],[],[],0,0,1,['#derrubaoveto368'],[],https://twitter.com/bruxadomarbelo/status/1293681609368047617,False,,0,,,,,,,"[{'user_id': '1127649415295119360', 'username': 'bruxadomarbelo'}, {'user_id': '139704156', 'username': 'ANPUH'}]",,,,
1293674042491375616,1293674042491375616,1597270901000,2020-08-12,19:21:41,-0300,1174095389399683072,cavalcanteriley,Riley Diego Cavalcante🇧🇷,,Como futuro Historiador fico indignado com tão veto. Infelizmente estam querendo apagar as verdades por trás da opressão. Querem apagar todas às conquistas que conseguimos. Esse governo quer reinventar a nossa própria história. #DerrubaOVeto368  pic.twitter.com/IlF4H6Dbjs,pt,[],[],['https://pbs.twimg.com/media/EfQNrw5XYAAssIJ.jpg'],1,1,2,['#derrubaoveto368'],[],https://twitter.com/CavalcanteRiley/status/1293674042491375616,False,,0,,,,,,,"[{'user_id': '1174095389399683072', 'username': 'CavalcanteRiley'}]",,,,
