id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1293910672980365319,1293910670476324864,1597327318000,2020-08-13,11:01:58,-0300,1044702540590456833,projeto7c0,Projeto 7c0,,"VITÓRIA! O Congresso Nacional acaba de derrubar o veto do presidente Bolsonaro ao PL 368/2009,que regulamenta da profissão de historiador no Brasil.Como professor de história e um apaixonado por essa ...",pt,[],[],[],1,0,0,[],[],https://twitter.com/projeto7C0/status/1293910672980365319,False,,0,,,,,,,"[{'user_id': '1044702540590456833', 'username': 'projeto7C0'}]",,,,
1288214494167158784,1288214494167158784,1595969243000,2020-07-28,17:47:23,-0300,1052968271102795776,gamesreddeer,RedDeerGames,,"PLAY & Let The Fun Begin 😱
Like + RT + Click ⬇️
 https://www.reddeergames.com 
Did You see it? 🙈 pic.twitter.com/45a6EF3ixr",en,[],['https://www.reddeergames.com'],[],31,196,476,[],[],https://twitter.com/GamesRedDeer/status/1288214494167158784,False,,1,,,,,,,"[{'user_id': '1052968271102795776', 'username': 'GamesRedDeer'}]",,,,
1293901020351922176,1293901020351922176,1597325017000,2020-08-13,10:23:37,-0300,37122131,paulopaim,Paulo Paim,,"Um sonho de meio século se tornou realidade. O veto ao PL 368, de minha autoria, foi rejeitado. A profissão de historiador agora é regulamentada. Parabéns a todos os envolvidos: categoria, @ANPUH, senadores e deputados, relatores. A história e a memória jamais serão caladas.",pt,['anpuh'],[],[],16,27,168,[],[],https://twitter.com/paulopaim/status/1293901020351922176,False,,0,,,,,,,"[{'user_id': '37122131', 'username': 'paulopaim'}, {'user_id': '139704156', 'username': 'ANPUH'}]",,,,
1293697584314417161,1293697582947094536,1597276514000,2020-08-12,20:55:14,-0300,74500609,anastasia,Antonio Anastasia,,"Como eu havia dito que ia lutar, conseguimos derrubar o veto ao projeto que regulamenta a profissão de historiador (PLS 368/2009), @ANPUH. Também rejeitamos o veto ao projeto que prorroga incentivos ao cinema, estendendo até 2024 o prazo para utilização do Recine (PL 5.815/2019).",pt,['anpuh'],[],[],5,1,8,[],[],https://twitter.com/Anastasia/status/1293697584314417161,False,,0,,,,,,,"[{'user_id': '74500609', 'username': 'Anastasia'}, {'user_id': '139704156', 'username': 'ANPUH'}]",,,,
1293657775587962880,1293657775587962880,1597267023000,2020-08-12,18:17:03,-0300,26397124,adovaldo,Adovaldo Filho,,"Derrubado o veto do PL 368 que regulamentava a profissão do historiador. Grande trabalho dos parlamentares, da @ANPUH, do Cahis UnB. Fico feliz porque acho que ajudei um pouco.",pt,['anpuh'],[],[],1,0,12,[],[],https://twitter.com/adovaldo/status/1293657775587962880,False,,0,,,,,,,"[{'user_id': '26397124', 'username': 'adovaldo'}, {'user_id': '139704156', 'username': 'ANPUH'}]",,,,
1293652119413821440,1293652119413821440,1597265674000,2020-08-12,17:54:34,-0300,2923379915,grasiponce,Grasi ⏳,,"Congresso derruba veto de Bozonaro a PL 368/2009. 
Profissão Historiadora
#historiaeprofissao",pt,[],[],[],2,4,11,['#historiaeprofissao'],[],https://twitter.com/GrasiPonce/status/1293652119413821440,False,,0,,,,,,,"[{'user_id': '2923379915', 'username': 'GrasiPonce'}]",,,,
1293637429883277312,1293637429883277312,1597262172000,2020-08-12,16:56:12,-0300,68719944,profisrael,Professor Israel 🇧🇷🏴,,"VITÓRIA! O Congresso Nacional acaba de derrubar o veto do presidente Bolsonaro ao PL 368/2009,que regulamenta a profissão de historiador no Brasil.Como professor de história e um apaixonado por essa disciplina, fico honrado em ter feito parte dessa luta, com meu voto e minha voz.",pt,[],[],[],3,7,97,[],[],https://twitter.com/ProfIsrael/status/1293637429883277312,False,,0,,,,,,,"[{'user_id': '68719944', 'username': 'ProfIsrael'}]",,,,
1293627938106159106,1293627938106159106,1597259909000,2020-08-12,16:18:29,-0300,91348811,adilsonufpa,Adilson,,"Câmara dos Deputados derrubou nesta quarta 12/08 o veto ao PL 368/2009, que regulamenta a profissão de historiador! Só falta o Senado!
#DerrubaOVetoPL368",pt,[],[],[],0,0,2,['#derrubaovetopl368'],[],https://twitter.com/adilsonufpa/status/1293627938106159106,False,,0,,,,,,,"[{'user_id': '91348811', 'username': 'adilsonufpa'}]",,,,
1293556201976889344,1293556201976889344,1597242806000,2020-08-12,11:33:26,-0300,52561710,yurisoares,Yuri Soares,,"Acabo de falar com a deputada federal @erikakokay e ela disse que há boas perspectivas para derrubar o veto de Bolsonaro ao PL 368, que regulamenta a profissão de historiador. Vamos pressionar os parlamentares para que valorizem a profissão! #derrubaovetopl368 @anpuh",pt,"['erikakokay', 'anpuh']",[],[],1,1,8,['#derrubaovetopl368'],[],https://twitter.com/yurisoares/status/1293556201976889344,False,,0,,,,,,,"[{'user_id': '52561710', 'username': 'yurisoares'}, {'user_id': '87021796', 'username': 'erikakokay'}, {'user_id': '139704156', 'username': 'ANPUH'}]",,,,
1283525465274187777,1283521520921391104,1594851292000,2020-07-15,19:14:52,-0300,3408812865,el_arthurr,Arthur,,"Estudantes, historiadores e professores se mobilizaram pra cobrar dos parlamentares a derrubada do veto do PL 368. Amanhã vai rolar a votação pela derrubada do veto, daí a associação vai lá e agradece o Rodrigo Maia e o Alcolumbre. Ah para",pt,[],[],[],0,0,2,[],[],https://twitter.com/El_Arthurr/status/1283525465274187777,False,,0,,,,,,,"[{'user_id': '3408812865', 'username': 'El_Arthurr'}]",,,,
